year,month,weekdays,saturdays,sundays,cloudy_days,rainy_days,sunny_days,avg_low,avg_high
2000,1,21,5,5,16,12,1,34,51
2000,2,21,4,4,6,7,1,37,62
2000,3,23,4,4,5,9,0,45,69
2000,4,20,5,5,8,13,0,48,72
2000,5,23,4,4,1,8,0,63,83
2000,6,22,4,4,1,14,0,67,87
2000,7,21,5,5,0,10,1,70,91
2000,8,23,4,4,2,10,1,69,90
2000,9,21,5,4,4,12,1,63,81
2000,10,22,4,5,0,2,0,51,77
2000,11,22,4,4,8,13,0,41,59
2000,12,21,5,5,12,10,0,28,45
2001,1,23,4,4,11,13,0,29,48
2001,2,20,4,4,12,11,0,38,59
2001,3,22,5,4,9,11,0,40,59
2001,4,21,4,5,4,6,1,53,76
2001,5,23,4,4,1,14,0,59,81
2001,6,21,5,4,0,15,2,65,85
2001,7,22,4,5,0,9,2,71,88
2001,8,23,4,4,1,8,1,71,87
2001,9,20,5,5,2,6,2,62,80
2001,10,23,4,4,1,4,0,47,73
2001,11,22,4,4,2,6,1,43,70
2001,12,21,5,5,10,9,1,40,58
2002,1,23,4,4,9,7,0,35,55
2002,2,20,4,4,4,9,0,34,56
2002,3,21,5,5,11,13,0,43,67
2002,4,22,4,4,5,6,1,55,77
2002,5,23,4,4,6,8,0,57,79
2002,6,20,5,5,0,8,0,67,88
2002,7,23,4,4,2,9,1,71,91
2002,8,22,5,4,0,12,1,70,91
2002,9,21,4,5,4,10,0,67,85
2002,10,23,4,4,10,15,1,59,72
2002,11,21,5,4,8,13,0,40,58
2002,12,22,4,5,10,12,0,34,51
2003,1,23,4,4,8,10,0,28,47
2003,2,20,4,4,15,13,0,36,52
2003,3,21,5,5,8,9,0,45,65
2003,4,22,4,4,4,12,2,51,74
2003,5,22,5,4,4,16,0,60,77
2003,6,21,4,5,1,16,2,65,83
2003,7,23,4,4,1,18,2,69,86
2003,8,21,5,5,0,15,0,70,88
2003,9,22,4,4,0,8,3,62,81
2003,10,23,4,4,4,9,2,50,72
2003,11,20,5,5,7,9,0,45,66
2003,12,23,4,4,8,13,0,32,51
2004,1,22,5,4,11,8,0,31,50
2004,2,20,4,5,13,12,0,35,51
2004,3,23,4,4,5,10,1,45,68
2004,4,22,4,4,4,8,0,49,72
2004,5,21,5,5,0,11,1,62,82
2004,6,22,4,4,0,13,2,68,84
2004,7,22,5,4,0,12,0,68,87
2004,8,22,4,5,0,9,1,67,85
2004,9,22,4,4,2,6,0,64,81
2004,10,21,5,5,6,12,1,58,75
2004,11,22,4,4,10,14,0,47,63
2004,12,23,4,4,3,10,1,32,52
2005,1,21,5,5,11,6,17,37,56
2005,2,20,4,4,13,14,14,38,57
2005,3,23,4,4,11,10,18,41,62
2005,4,21,5,4,7,14,17,49,73
2005,5,22,4,5,4,8,20,55,77
2005,6,22,4,4,9,12,14,67,85
2005,7,21,5,5,3,13,12,72,88
2005,8,23,4,4,3,13,18,72,89
2005,9,22,4,4,2,5,24,65,87
2005,10,21,5,5,5,3,20,52,74
2005,11,22,4,4,6,9,18,42,65
2005,12,22,5,4,11,11,18,31,48
2006,1,22,4,5,15,12,17,39,57
2006,2,20,4,4,9,13,12,34,52
2006,3,23,4,4,4,7,19,43,65
2006,4,20,5,5,5,10,23,55,78
2006,5,23,4,4,4,15,12,58,78
2006,6,22,4,4,1,8,18,66,88
2006,7,21,5,5,1,14,21,71,90
2006,8,23,4,4,1,17,17,73,92
2006,9,21,5,4,5,11,17,62,81
2006,10,22,4,5,5,8,19,50,71
2006,11,22,4,4,10,8,16,41,63
2006,12,21,5,5,7,7,23,36,58
2007,1,23,4,4,10,8,16,36,54
2007,2,20,4,4,7,6,14,32,54
2007,3,22,5,4,5,6,22,47,72
2007,4,21,4,5,4,8,19,48,71
2007,5,23,4,4,2,5,26,59,84
2007,6,21,5,4,1,7,25,67,91
2007,7,22,4,5,1,17,14,70,87
2007,8,23,4,4,0,7,26,75,96
2007,9,20,5,5,1,3,25,65,88
2007,10,23,4,4,5,7,18,56,77
2007,11,22,4,4,4,9,21,40,64
2007,12,21,5,5,9,13,13,41,58
2008,1,23,4,4,8,10,17,32,51
2008,2,21,4,4,9,9,15,35,57
2008,3,21,5,5,10,10,16,42,65
2008,4,22,4,4,8,12,13,51,72
2008,5,22,5,4,4,11,16,59,79
2008,6,21,4,5,1,10,22,68,89
2008,7,23,4,4,1,14,19,69,90
2008,8,21,5,5,3,6,18,70,89
2008,9,22,4,4,1,5,17,65,84
2008,10,23,4,4,4,6,21,51,73
2008,11,20,5,5,6,8,20,37,60
2008,12,23,4,4,15,13,12,38,55
2009,1,22,5,4,15,9,13,31,50
2009,2,20,4,4,8,7,16,35,58
2009,3,22,4,5,11,11,11,44,65
2009,4,22,4,4,10,9,6,50,72
2009,5,21,5,5,12,15,6,61,78
2009,6,22,4,4,2,3,6,69,90
2009,7,23,4,4,6,10,2,69,88
2009,8,21,5,5,3,11,4,70,88
2009,9,22,4,4,10,13,3,66,80
2009,10,22,5,4,16,15,7,53,69
2009,11,21,4,5,8,5,16,43,64
2009,12,23,4,4,16,11,7,34,50
2010,1,21,5,5,14,10,12,29,45
2010,2,20,4,4,14,9,5,31,46
2010,3,23,4,4,14,10,9,41,60
2010,4,22,4,4,4,6,13,52,78
2010,5,21,5,5,6,11,9,63,83
2010,6,22,4,4,0,12,4,72,90
2010,7,22,5,4,1,8,8,73,93
2010,8,22,4,5,2,7,8,74,94
2010,9,22,4,4,1,8,15,65,89
2010,10,21,5,5,3,4,19,50,77
2010,11,22,4,4,10,10,11,42,64
2010,12,23,4,4,15,8,7,29,45
2011,1,21,5,5,12,10,6,30,47
2011,2,20,4,4,11,11,5,38,59
2011,3,23,4,4,14,12,5,45,64
2011,4,21,5,4,10,9,8,54,77
2011,5,22,4,5,5,6,5,59,81
2011,6,22,4,4,1,11,10,69,91
2011,7,21,5,5,1,9,1,73,92
2011,8,23,4,4,0,1,10,72,95
2011,9,22,4,4,5,9,5,62,80
2011,10,21,5,5,6,5,18,48,72
2011,11,22,4,4,13,12,10,44,63
2011,12,22,5,4,10,7,6,39,57
2012,1,22,4,5,12,13,10,36,56
2012,2,21,4,4,9,9,6,39,59
2012,3,22,5,4,8,13,6,53,75
2012,4,21,4,5,5,5,6,54,75
2012,5,23,4,4,2,8,6,63,84
2012,6,21,5,4,2,5,6,66,89
2012,7,22,4,5,5,11,6,73,93
